n1,n2,n3,n4,n5,n6
1,3,5,7,27,34
1,3,5,7,27,37
1,3,5,17,22,31
1,3,5,20,30,37
1,3,5,22,29,30
1,3,5,29,34,37
1,3,5,29,36,43
1,3,7,8,36,37
1,3,7,12,28,43
1,3,7,22,27,34
1,3,7,27,32,43
1,3,7,29,31,43
1,3,7,29,36,37
1,3,8,10,20,34
1,3,8,20,31,37
1,3,8,20,34,37
1,3,8,20,36,37
1,3,8,22,28,30
1,3,8,22,31,36
1,3,8,24,28,31
1,3,8,27,28,41
1,3,8,29,30,34
1,3,8,30,37,43
1,3,8,31,33,36
1,3,8,31,35,36
1,3,8,37,40,43
1,3,10,12,17,34
1,3,12,14,17,34
1,3,12,16,17,32
1,3,12,16,21,32
1,3,12,16,22,31
1,3,12,16,32,34
1,3,12,20,22,43
1,3,14,20,31,41
1,3,17,20,27,36
1,3,17,31,32,43
1,3,17,31,35,36
1,3,20,22,29,43
1,3,20,24,35,36
1,3,20,27,29,31
1,3,21,22,27,30
1,3,21,24,28,43
1,3,22,24,29,41
1,3,22,28,34,40
1,3,24,27,28,31
1,3,24,28,36,43
1,3,28,34,35,40
1,3,29,30,34,37
1,3,34,40,41,43
1,5,7,12,20,37
1,5,7,12,27,35
1,5,7,12,29,31
1,5,7,12,33,35
1,5,7,17,20,31
1,5,8,16,37,40
1,5,8,35,37,43
1,5,10,14,17,29
1,5,10,14,27,40
1,5,10,17,22,31
1,5,10,17,35,40
1,5,12,14,17,37
1,5,14,16,22,30
1,5,14,17,21,41
1,5,14,17,27,41
1,5,14,27,31,43
1,5,14,31,37,43
1,5,16,17,22,27
1,5,16,17,28,41
1,5,16,22,27,31
1,5,16,27,36,41
1,5,16,27,37,43
1,5,17,22,30,37
1,5,17,27,32,41
1,5,17,27,37,43
1,5,17,29,36,43
1,5,17,30,33,34
1,5,20,21,28,34
1,5,20,29,30,37
1,5,20,32,36,37
1,5,27,32,35,36
1,5,32,37,40,43
1,7,8,10,27,41
1,7,8,14,20,32
1,7,8,21,31,41
1,7,8,21,33,40
1,7,8,21,35,43
1,7,8,29,35,43
1,7,10,20,31,35
1,7,10,21,37,40
1,7,10,27,31,35
1,7,12,14,21,31
1,7,12,16,31,43
1,7,12,16,35,36
1,7,12,24,27,35
1,7,12,28,29,41
1,7,12,30,34,37
1,7,14,17,28,36
1,7,14,21,33,40
1,7,16,22,29,36
1,7,16,28,29,35
1,7,17,20,31,36
1,7,17,21,24,35
1,7,17,29,32,34
1,7,20,21,41,43
1,7,21,28,31,40
1,7,21,29,33,40
1,7,21,34,37,40
1,7,22,27,31,34
1,7,22,28,29,41
1,7,24,35,40,43
1,7,27,30,31,37
1,7,29,30,31,43
1,7,29,32,35,43
1,7,30,32,34,35
1,8,10,20,27,29
1,8,10,21,29,40
1,8,10,30,32,34
1,8,12,14,22,27
1,8,12,16,35,37
1,8,12,20,33,34
1,8,12,33,37,43
1,8,14,16,28,41
1,8,14,20,27,41
1,8,14,20,28,30
1,8,14,21,29,33
1,8,14,21,37,43
1,8,14,22,27,33
1,8,14,27,30,37
1,8,14,30,36,37
1,8,16,17,21,33
1,8,16,17,22,34
1,8,16,17,28,41
1,8,16,17,32,36
1,8,16,20,28,37
1,8,16,21,22,36
1,8,16,21,28,35
1,8,16,21,30,40
1,8,16,27,28,41
1,8,17,20,34,41
1,8,17,24,35,43
1,8,20,21,22,43
1,8,20,21,33,43
1,8,20,21,34,43
1,8,20,24,30,36
1,8,20,29,34,41
1,8,20,32,34,36
1,8,21,22,28,40
1,8,21,22,30,43
1,8,21,22,33,43
1,8,21,29,33,43
1,8,22,27,40,43
1,8,22,28,33,40
1,8,22,33,40,43
1,8,29,31,40,43
1,8,29,34,35,36
1,10,12,16,27,30
1,10,12,17,29,36
1,10,12,20,30,37
1,10,12,35,36,37
1,10,14,16,21,43
1,10,14,17,29,41
1,10,14,21,28,35
1,10,14,29,33,36
1,10,14,33,34,43
1,10,16,20,21,35
1,10,16,21,29,41
1,10,16,21,35,37
1,10,16,24,29,41
1,10,16,30,40,43
1,10,17,20,28,43
1,10,17,22,24,33
1,10,21,29,33,41
1,10,22,24,31,33
1,10,22,30,34,43
1,10,24,33,34,43
1,10,28,29,32,41
1,10,28,31,36,37
1,12,14,16,28,40
1,12,14,17,29,32
1,12,14,21,28,35
1,12,14,24,28,34
1,12,14,30,34,41
1,12,16,17,22,33
1,12,16,24,30,40
1,12,16,33,34,40
1,12,17,24,41,43
1,12,17,27,35,43
1,12,17,30,37,41
1,12,17,31,35,36
1,12,17,32,37,41
1,12,20,24,30,33
1,12,20,33,34,40
1,12,22,27,34,43
1,12,24,27,41,43
1,12,24,40,41,43
1,12,27,30,35,43
1,12,27,34,41,43
1,14,16,17,35,36
1,14,16,27,30,34
1,14,16,30,36,40
1,14,17,21,31,32
1,14,17,22,27,29
1,14,17,24,27,36
1,14,17,27,36,40
1,14,20,29,31,33
1,14,20,31,33,43
1,14,21,27,28,33
1,14,21,27,32,40
1,14,21,28,33,34
1,14,21,28,37,40
1,14,21,29,33,34
1,14,21,34,37,41
1,14,24,32,35,36
1,14,27,34,36,40
1,14,27,36,37,40
1,14,30,32,34,41
1,14,30,34,37,41
1,16,17,21,30,32
1,16,17,27,28,32
1,16,17,31,41,43
1,16,20,21,35,40
1,16,21,24,32,41
1,16,21,28,29,41
1,16,21,28,30,33
1,16,21,29,32,41
1,17,20,21,30,36
1,17,21,29,36,41
1,17,22,28,30,35
1,17,22,28,35,40
1,17,24,27,28,31
1,17,24,29,33,40
1,17,27,28,33,36
1,17,27,29,31,35
1,17,27,32,36,40
1,20,21,22,24,36
1,20,22,28,35,43
1,20,24,27,30,37
1,20,24,27,34,43
1,20,24,28,33,36
1,20,24,28,34,37
1,20,24,31,35,36
1,20,29,33,36,40
1,20,30,34,41,43
1,21,22,28,34,37
1,21,24,40,41,43
1,21,27,28,31,40
1,21,28,29,33,43
1,21,28,32,34,41
1,21,28,34,36,37
1,21,28,34,37,43
1,21,29,31,36,43
1,21,31,33,34,41
1,21,31,40,41,43
1,21,34,36,41,43
1,22,24,34,35,40
1,22,29,33,35,40
1,22,30,34,35,36
1,22,33,34,40,41
1,24,27,31,41,43
1,24,28,34,41,43
1,24,29,33,34,43
1,24,31,33,34,40
1,24,31,34,36,40
1,24,32,35,36,37
1,24,35,36,37,43
1,24,35,37,40,43
1,27,28,34,36,37
1,29,30,32,34,43
1,29,31,33,41,43
1,30,32,33,34,41
1,30,33,34,37,41
3,5,7,21,27,34
3,5,7,22,30,41
3,5,7,24,27,35
3,5,7,24,27,36
3,5,7,30,37,40
3,5,8,12,20,34
3,5,8,12,21,28
3,5,8,14,30,34
3,5,8,14,35,40
3,5,8,20,27,34
3,5,8,20,28,43
3,5,8,27,34,43
3,5,8,28,29,37
3,5,10,20,28,43
3,5,10,21,30,33
3,5,12,14,34,41
3,5,12,22,28,34
3,5,14,16,27,41
3,5,14,20,27,34
3,5,14,22,32,43
3,5,14,30,31,34
3,5,14,34,36,43
3,5,20,29,36,37
3,5,21,28,31,33
3,5,21,29,34,35
3,5,21,33,35,36
3,5,30,32,33,34
3,7,8,14,22,31
3,7,8,16,17,21
3,7,8,17,28,41
3,7,8,17,36,37
3,7,8,21,22,36
3,7,8,21,29,30
3,7,8,21,29,35
3,7,8,27,37,40
3,7,10,12,28,31
3,7,10,12,28,41
3,7,10,14,31,34
3,7,10,16,30,32
3,7,10,17,24,34
3,7,10,24,34,37
3,7,12,17,20,33
3,7,12,22,28,41
3,7,12,22,28,43
3,7,12,29,32,33
3,7,12,32,34,43
3,7,12,34,36,43
3,7,14,21,28,37
3,7,14,22,27,34
3,7,14,22,35,43
3,7,14,22,41,43
3,7,14,27,34,37
3,7,14,37,41,43
3,7,16,20,24,28
3,7,16,30,32,33
3,7,17,21,33,36
3,7,17,22,32,34
3,7,20,24,30,31
3,7,20,27,28,35
3,7,20,27,31,41
3,7,20,31,37,43
3,7,21,28,31,36
3,7,21,28,33,37
3,7,21,31,34,36
3,7,21,31,36,41
3,7,22,27,33,43
3,7,22,27,34,40
3,7,22,27,37,41
3,7,24,30,40,43
3,7,27,28,37,40
3,7,27,28,41,43
3,7,27,29,34,43
3,7,27,31,35,41
3,7,27,34,37,40
3,7,28,29,32,43
3,7,28,35,40,43
